country,sold
China,172
Indonesia,98
Philippines,65
Brazil,50
Russia,50
Portugal,27
Poland,27
France,26
Czech Republic,24
United States,23
Ukraine,19
Sweden,19
Japan,18
Colombia,18
Thailand,13
Argentina,12
Greece,12
Canada,10
Finland,9
Nigeria,9
Mexico,9
Slovenia,8
Peru,7
Croatia,7
Kazakhstan,6
Syria,6
North Korea,6
Tanzania,5
Germany,5
,5
Palestinian Territory,5
Netherlands,5
Bulgaria,5
Albania,5
Iran,5
Vietnam,5
Venezuela,5
Norway,5
Armenia,5
Pakistan,4
Yemen,4
Mongolia,4
Egypt,4
Ireland,4
Honduras,4
Cambodia,3
Guatemala,3
Benin,3
Belarus,3
Azerbaijan,3
Cameroon,3
Morocco,3
Madagascar,3
Costa Rica,3
Bolivia,3
South Korea,3
Serbia,3
Chile,3
Spain,2
Uzbekistan,2
Bangladesh,2
Democratic Republic of the Congo,2
Malawi,2
United Kingdom,2
Ghana,2
Cuba,2
Georgia,2
Turkmenistan,2
Ivory Coast,2
Paraguay,2
Latvia,2
El Salvador,2
Iraq,2
Botswana,2
Chad,2
Malaysia,2
Somalia,2
Luxembourg,2
Bosnia and Herzegovina,2
Ecuador,2
Zimbabwe,2
Dominican Republic,2
Afghanistan,2
Sierra Leone,2
Kosovo,2
Lithuania,2
Sri Lanka,1
Kenya,1
India,1
United Kigdom,1
Lebanon,1
Chinaa,1
Saint Kitts and Nevis,1
Chilly,1
Libya,1
Bahamas,1
Mars,1
Panama,1
Guyana,1
Tunisia,1
Kyrgyzstan,1
Vietman,1
Switzerland,1
Zambia,1
Texas,1
Mayotte,1
Trinidad and Tobago,1
Lips,1
Estonia,1
Norf Korea,1
Guinea,1
Israel,1
Mali,1
Planet,1
Jordan,1
Uruguay,1
Hungary,1
Chyna,1
Mauritius,1
New Zealand,1
Liberia,1
Denmark,1
Macedonia,1
Nauru,1
Ethiopia,1
United Movies,1
Myanmar,1
Kekistan,1
Christmas Island,1
Chin,1
Pluto,1
Malta,1
Togo,1
Nicaragua,1
Not,1
Belgium,1
Aland Islands,1
South Africa,1
Taiwan,1
Greenland,1
Alabama,1
Cape Verde,1
Jappan,1
Noway,1
Saudi Arabia,1
Monaco,1
Martinique,1
Nepal,1
