country,product_category,qty
China,Outdoor Equipment,22
China,Office Supplies,22
China,Health & Beauty,18
China,Baby Products,18
China,Clothing,17
China,Automotive,17
China,Grocery,16
Indonesia,Automotive,16
China,Home Goods,16
China,Electronics,15
Indonesia,Baby Products,13
Indonesia,Electronics,12
Philippines,Entertainment,12
Indonesia,Outdoor Equipment,11
Indonesia,Office Supplies,10
Philippines,Grocery,9
Russia,Clothing,9
China,Entertainment,9
Brazil,Entertainment,9
Russia,Electronics,8
Brazil,Automotive,8
Indonesia,Clothing,8
Indonesia,Entertainment,8
Philippines,Office Supplies,8
Indonesia,Home Goods,8
Philippines,Home Goods,7
Philippines,Health & Beauty,7
Brazil,Electronics,7
Brazil,Grocery,6
Portugal,Clothing,6
Philippines,Electronics,6
Ukraine,Home Goods,6
Indonesia,Grocery,6
Indonesia,Health & Beauty,6
Czech Republic,Grocery,6
Russia,Baby Products,5
Brazil,Health & Beauty,5
Russia,Health & Beauty,5
Russia,Office Supplies,5
Brazil,Clothing,5
Russia,Entertainment,5
Czech Republic,Office Supplies,5
Philippines,Outdoor Equipment,5
Portugal,Health & Beauty,4
Portugal,Outdoor Equipment,4
Canada,Clothing,4
France,Health & Beauty,4
Philippines,Baby Products,4
Colombia,Automotive,4
Thailand,Grocery,4
Ukraine,Entertainment,4
Russia,Automotive,4
United States,Health & Beauty,4
Brazil,Baby Products,4
Philippines,Automotive,4
Sweden,Outdoor Equipment,4
United States,Outdoor Equipment,4
Poland,Entertainment,4
Poland,Grocery,4
Thailand,Home Goods,4
France,Clothing,4
Finland,Office Supplies,3
France,Outdoor Equipment,3
Sweden,Baby Products,3
Poland,Baby Products,3
Colombia,Office Supplies,3
United States,Electronics,3
Mexico,Outdoor Equipment,3
Poland,Health & Beauty,3
Japan,Office Supplies,3
Portugal,Electronics,3
Russia,Home Goods,3
Poland,Home Goods,3
Argentina,Automotive,3
Greece,Health & Beauty,3
France,Home Goods,3
France,Automotive,3
Sweden,Automotive,3
Czech Republic,Clothing,3
Russia,Grocery,3
United States,Office Supplies,3
Philippines,Clothing,3
Nigeria,Home Goods,3
Russia,Outdoor Equipment,3
Greece,Electronics,3
France,Entertainment,3
Portugal,Office Supplies,3
Iran,Electronics,3
France,Office Supplies,3
Sweden,Grocery,3
United States,Grocery,3
Poland,Outdoor Equipment,3
Peru,Outdoor Equipment,2
Japan,Clothing,2
Colombia,Baby Products,2
Nigeria,Health & Beauty,2
Ukraine,Grocery,2
Bulgaria,Office Supplies,2
Mexico,Automotive,2
Portugal,Baby Products,2
Canada,Outdoor Equipment,2
Canada,Office Supplies,2
France,Baby Products,2
Czech Republic,Electronics,2
Kosovo,Home Goods,2
Czech Republic,Outdoor Equipment,2
Japan,Outdoor Equipment,2
Japan,Automotive,2
Portugal,Entertainment,2
Japan,Home Goods,2
Syria,Grocery,2
North Korea,Automotive,2
Japan,Grocery,2
Slovenia,Office Supplies,2
Peru,Home Goods,2
Argentina,Health & Beauty,2
Madagascar,Health & Beauty,2
Colombia,Home Goods,2
Japan,Entertainment,2
Tanzania,Electronics,2
Czech Republic,Health & Beauty,2
